,id_object,addres_object,developer_object,group_company,amount_floors,amount_apartments,area,commissioning,picture
0,34999,"г Хабаровск, Лазо, д. Четырехквартирный дом по ГП №6 (1 этап строительства)",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,4,706,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/5f63e0ea-2cb6-45c0-bc25-cad96c9cada8
1,34997,"г Хабаровск, Лазо, д. Четырехквартирный дом по ГП №4 (1 этап строительства)",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,4,706,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/2cf2bd12-5498-47d8-aaba-bb42efb75476
2,34994,"г Хабаровск, Лазо, д. Четырехквартирный дом по ГП №1 (1 этап строительства)",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,4,706,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/15b795ea-0219-4c68-bfe3-87348578a7e2
3,34995,"г Хабаровск, Лазо, д. Пятиквартирный дом по ГП №2 (1 этап строительства)",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,5,906,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/a075a710-e720-49f0-bf4c-fe1fa4341501
4,34998,"г Хабаровск, Лазо, д. Четырехквартирный дом по ГП №5 (1 этап строительства)",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,4,706,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/4973b007-5f2c-4165-9b10-721f5fa21e60
5,34996,"г Хабаровск, Лазо, д. Четырехквартирный дом по ГП №3 (1 этап строительства)",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,4,706,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/e311cbc1-8d4c-4d52-b5a4-c129c3f59a82
6,35001,"г Хабаровск, Лазо, д. Четырехквартирный дом по ГП №8 (2 этап строительства)",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,4,706,I кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/f5128a08-b1f0-430e-827a-01fb693c19fc
7,35000,"г Хабаровск, Лазо, д. Контрольно-пропускной пункт со встроенными административными помещениями по ГП № 7",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,-,-,IV кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/bba3c831-e242-47d4-ade6-3ccc6df2467e
8,35005,"г Хабаровск, Лазо, д. Четырехквартирный дом по ГП №12 (2 этап строительства)",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,4,706,I кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/d6ad0401-45dd-4d81-af8b-64133dedd804
9,35007,"г Хабаровск, Лазо, д. Четырехквартирный дом по ГП №14 (2 этап строительства)",ООО СЗ ДА ДЕВЕЛОПМЕНТ,Да! Девелопмент,2,4,756,I кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/cd40b381-8bcc-4050-9f2a-cd5ec67782a8
10,28608,"город Хабаровск, улица Запарина",ООО РЕГИОНЖИЛЬЕ,Корфовский Каменный Карьер,21,162,8 184,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/410b0b57-0a50-4d44-9d06-3bba4bfe9248
11,28609,"город Хабаровск, улица Запарина",ООО РЕГИОНЖИЛЬЕ,Корфовский Каменный Карьер,3,-,-,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/eb0061f7-95e3-4fef-b5b6-8f6762ee1daf
12,33712,"г Хабаровск, улица Морозова Павла Леонтьевича, д. 23",ООО СЗ РЕАЛ СТРОЙ,-,14,260,11 371,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/41294754-70c8-4eb4-8017-7a876ccca436
